Id,CreationDate,ClosedDate,DeletionDate,Score,OwnerUserId,AnswerCount
482,2008-08-02T16:09:56Z,NA,NA,36,77,3
484,2008-08-02T16:10:55Z,2013-09-30T15:39:22Z,2013-09-30T15:39:27Z,57,NA,24
487,2008-08-02T16:16:27Z,NA,2008-08-11T03:49:36Z,0,NA,14
498,2008-08-02T16:59:00Z,NA,2008-08-07T02:54:46Z,-6,NA,4
502,2008-08-02T17:01:58Z,NA,NA,27,147,3
505,2008-08-02T17:10:03Z,NA,2008-08-24T14:45:03Z,8,NA,6
514,2008-08-02T17:26:39Z,NA,NA,15,151,4
523,2008-08-02T17:57:42Z,NA,2008-08-02T18:21:28Z,-1,NA,4
535,2008-08-02T18:43:54Z,NA,NA,43,154,7
543,2008-08-02T19:24:01Z,NA,2008-08-24T14:40:19Z,3,NA,7
549,2008-08-02T19:51:50Z,2016-08-11T07:19:48Z,NA,4443,136,12
553,2008-08-02T20:22:32Z,NA,2008-12-04T22:07:04Z,0,NA,0
559,2008-08-02T21:29:29Z,2011-09-17T22:00:35Z,2012-02-24T15:44:44Z,26,NA,0
561,2008-08-02T21:34:24Z,NA,NA,13,157,5
562,2008-08-02T21:39:11Z,NA,NA,31,NA,1
564,2008-08-02T21:47:34Z,NA,NA,182,25,20
580,2008-08-02T23:30:59Z,NA,NA,21,91,14
588,2008-08-03T00:03:58Z,NA,NA,44,172,8
592,2008-08-03T00:38:59Z,2013-02-01T23:15:57Z,2013-02-21T01:56:39Z,22,NA,7
594,2008-08-03T01:15:08Z,NA,NA,26,116,3
601,2008-08-03T02:05:59Z,2012-09-11T00:41:28Z,NA,29,NA,5
609,2008-08-03T02:48:43Z,NA,NA,15,179,5
610,2008-08-03T03:01:47Z,2012-08-06T14:28:54Z,2012-08-30T19:20:33Z,16,NA,22
622,2008-08-03T05:45:21Z,NA,NA,40,184,23
624,2008-08-03T06:32:47Z,NA,2008-08-03T08:30:54Z,-3,NA,NA
626,2008-08-03T06:40:54Z,NA,NA,303,136,14
630,2008-08-03T07:34:18Z,NA,2008-08-28T05:07:50Z,79,NA,-1
634,2008-08-03T08:32:50Z,NA,2008-08-24T14:40:25Z,22,NA,11
643,2008-08-03T09:29:39Z,2011-08-23T13:33:23Z,2012-03-01T14:16:07Z,0,NA,0
644,2008-08-03T09:55:26Z,NA,NA,41,191,11
650,2008-08-03T11:12:52Z,NA,NA,82,143,6
651,2008-08-03T11:21:54Z,NA,NA,21,192,3
657,2008-08-03T11:50:33Z,NA,NA,23,115,7
659,2008-08-03T12:05:04Z,NA,2008-09-14T03:34:52Z,1,NA,0
664,2008-08-03T12:26:22Z,2013-05-15T23:11:41Z,2013-06-15T05:09:22Z,58,NA,8
672,2008-08-03T12:55:33Z,2011-12-07T14:11:57Z,2012-01-12T21:56:43Z,22,NA,0
677,2008-08-03T13:06:14Z,NA,2008-08-24T14:41:30Z,7,NA,8
683,2008-08-03T13:19:16Z,NA,NA,30,199,8
687,2008-08-03T13:29:04Z,2011-07-22T14:49:42Z,2011-09-17T06:32:47Z,381,NA,0
696,2008-08-03T14:03:28Z,NA,NA,27,204,8
698,2008-08-03T14:22:28Z,2013-12-03T16:24:21Z,2015-01-14T22:36:44Z,128,NA,55
705,2008-08-03T14:41:43Z,NA,NA,25,91,10
709,2008-08-03T14:53:53Z,NA,NA,38,111,10
717,2008-08-03T15:07:10Z,NA,NA,17,NA,3
721,2008-08-03T15:20:53Z,NA,2008-08-24T14:41:25Z,-1,NA,4
728,2008-08-03T15:32:56Z,2014-07-15T02:45:38Z,2015-03-06T06:12:02Z,7,NA,9
729,2008-08-03T15:33:12Z,NA,2008-08-24T14:41:19Z,3,NA,6
736,2008-08-03T15:47:46Z,NA,2008-08-24T14:41:12Z,3,NA,4
742,2008-08-03T15:55:28Z,NA,NA,32,189,9
746,2008-08-03T16:03:48Z,NA,NA,20,192,17
752,2008-08-03T16:29:03Z,NA,NA,460,192,12
760,2008-08-03T17:13:22Z,NA,2008-09-20T07:28:22Z,3,NA,0
761,2008-08-03T17:30:20Z,NA,NA,10,214,7
766,2008-08-03T17:44:07Z,NA,NA,24,1384652,6
769,2008-08-03T18:14:24Z,NA,NA,30,79,10
773,2008-08-03T18:27:09Z,NA,NA,295,207,8
779,2008-08-03T18:34:03Z,NA,2008-08-09T01:50:10Z,0,NA,3
800,2008-08-03T19:47:05Z,2013-01-09T12:41:59Z,2014-12-15T16:30:19Z,76,NA,24
805,2008-08-03T20:11:26Z,NA,NA,7,232,5
810,2008-08-03T20:35:01Z,NA,NA,10,233,4
826,2008-08-03T21:08:54Z,NA,NA,9,101,8
832,2008-08-03T21:22:52Z,NA,NA,11,224,4
833,2008-08-03T21:23:41Z,NA,NA,14,186,8
835,2008-08-03T21:25:09Z,NA,NA,8,91,3
842,2008-08-03T21:37:13Z,2012-06-19T17:52:00Z,2014-04-15T00:28:56Z,156,NA,12
845,2008-08-03T21:42:37Z,NA,NA,94,238,10
854,2008-08-03T22:03:23Z,2011-10-31T14:34:30Z,2012-02-24T16:05:21Z,10,NA,0
855,2008-08-03T22:03:37Z,NA,NA,9,93,6
871,2008-08-03T22:38:29Z,NA,NA,393,203,30
879,2008-08-03T22:51:41Z,NA,NA,131,58,12
888,2008-08-03T23:18:21Z,2016-08-04T09:22:00Z,NA,405,131,30
898,2008-08-04T00:08:51Z,NA,NA,41,200,11
899,2008-08-04T00:09:39Z,2011-10-13T15:58:20Z,2014-11-30T05:29:17Z,479,NA,37
904,2008-08-04T00:17:34Z,NA,NA,53,34,9
905,2008-08-04T00:17:55Z,NA,NA,7,204,1
913,2008-08-04T00:27:35Z,2011-09-20T01:41:38Z,2012-05-03T13:04:49Z,104,NA,67
918,2008-08-04T00:33:54Z,2012-05-14T17:06:07Z,2015-04-07T00:56:12Z,85,NA,18
930,2008-08-04T00:47:25Z,NA,NA,32,245,7
935,2008-08-04T01:00:24Z,NA,NA,79,246,5
941,2008-08-04T01:08:24Z,NA,2008-08-24T14:49:23Z,8,NA,5
944,2008-08-04T01:15:38Z,NA,NA,17,233,5
947,2008-08-04T01:22:49Z,NA,NA,15,243,3
954,2008-08-04T01:49:58Z,NA,2008-08-24T14:41:07Z,1,NA,14
959,2008-08-04T01:55:02Z,2010-06-29T14:09:01Z,2012-08-26T20:13:50Z,5,NA,12
969,2008-08-04T02:13:44Z,NA,2008-09-01T19:09:46Z,-4,NA,0
972,2008-08-04T02:17:51Z,NA,NA,398,145,16
987,2008-08-04T02:46:18Z,NA,2008-08-24T14:40:52Z,2,NA,8
999,2008-08-04T03:15:54Z,NA,2008-08-24T14:40:58Z,0,NA,3
1005,2008-08-04T03:34:02Z,NA,NA,210,85,11
1010,2008-08-04T03:59:42Z,NA,NA,16,67,3
1013,2008-08-04T04:10:35Z,NA,2008-08-04T04:25:49Z,-7,NA,3
1024,2008-08-04T04:48:38Z,NA,NA,14,234,2
1033,2008-08-04T05:15:35Z,NA,NA,51,87,12
1035,2008-08-04T05:28:16Z,NA,2008-08-24T15:18:47Z,1,NA,5
1037,2008-08-04T05:35:52Z,NA,NA,21,231,2
1040,2008-08-04T05:45:22Z,NA,NA,42,254,8
1041,2008-08-04T05:50:00Z,2016-05-16T01:37:15Z,NA,14,NA,10
1042,2008-08-04T05:51:56Z,NA,NA,11,2,2
1053,2008-08-04T06:21:38Z,NA,NA,11,13,9
1064,2008-08-04T06:51:20Z,NA,NA,9,NA,3
1068,2008-08-04T07:18:40Z,2008-08-24T03:14:11Z,2008-09-06T00:30:35Z,6,NA,-1
1069,2008-08-04T07:30:01Z,NA,NA,43,257,15
1070,2008-08-04T07:34:44Z,NA,NA,18,236,4
1075,2008-08-04T08:10:41Z,NA,2008-08-24T14:40:46Z,6,NA,8
1083,2008-08-04T08:21:42Z,NA,NA,21,260,7
1085,2008-08-04T08:24:46Z,2012-06-05T23:22:07Z,2014-02-15T06:28:54Z,68,NA,8
1094,2008-08-04T09:05:13Z,NA,2008-08-24T14:40:39Z,1,NA,5
1099,2008-08-04T09:33:13Z,NA,2008-08-07T09:21:28Z,-1,NA,3
1104,2008-08-04T10:01:37Z,NA,NA,16,236,7
1108,2008-08-04T10:07:12Z,NA,NA,1333,264,7
1122,2008-08-04T10:31:15Z,NA,2008-09-14T10:04:53Z,2,NA,-1
1131,2008-08-04T10:43:05Z,NA,NA,32,91,10
1145,2008-08-04T11:06:00Z,NA,NA,9,188,8
1156,2008-08-04T11:21:26Z,NA,NA,42,264,6
1160,2008-08-04T11:37:24Z,NA,NA,37,120,12
1171,2008-08-04T12:00:57Z,2016-01-20T02:53:03Z,NA,54,280,7
1176,2008-08-04T12:11:55Z,2012-09-04T22:48:28Z,NA,27,25,6
1180,2008-08-04T12:22:07Z,NA,NA,18,281,4
1189,2008-08-04T12:38:21Z,NA,NA,8,258,3
1196,2008-08-04T12:48:06Z,NA,2008-08-24T14:42:42Z,0,NA,7
1205,2008-08-04T13:10:22Z,NA,2008-08-24T14:42:36Z,-8,NA,7
1209,2008-08-04T13:19:20Z,NA,2008-08-24T15:37:26Z,5,NA,7
1211,2008-08-04T13:19:56Z,NA,2008-08-24T14:42:23Z,-1,NA,7
1229,2008-08-04T13:38:18Z,NA,NA,11,NA,3
1234,2008-08-04T13:40:35Z,NA,2013-01-15T14:56:50Z,5,NA,7
1237,2008-08-04T13:47:10Z,NA,NA,36,230,9
1241,2008-08-04T13:52:25Z,NA,NA,13,194,4
1245,2008-08-04T13:55:51Z,NA,2008-08-24T14:42:30Z,3,NA,14
1261,2008-08-04T14:06:48Z,NA,NA,50,292,11
1276,2008-08-04T14:31:11Z,NA,NA,221,30,11
1280,2008-08-04T14:38:14Z,NA,2008-08-24T15:07:37Z,3,NA,10
1284,2008-08-04T14:40:58Z,NA,NA,13,NA,8
1292,2008-08-04T14:47:10Z,NA,NA,44,192,6
1300,2008-08-04T14:55:04Z,NA,NA,23,91,7
1304,2008-08-04T14:56:57Z,2016-05-09T05:08:15Z,NA,204,121,12
1306,2008-08-04T14:57:59Z,NA,NA,38,302,4
1311,2008-08-04T15:02:41Z,NA,NA,8,306,1
1313,2008-08-04T15:08:13Z,NA,NA,40,2089740,8
1314,2008-08-04T15:09:07Z,NA,NA,11,312,2
1323,2008-08-04T15:14:47Z,NA,NA,15,2089740,9
1329,2008-08-04T15:20:42Z,2011-03-23T14:35:27Z,NA,38,83,22
1352,2008-08-04T15:40:42Z,2011-10-24T18:26:15Z,2012-02-24T16:05:35Z,28,NA,0
1365,2008-08-04T15:52:44Z,NA,2008-08-24T14:44:54Z,0,NA,7
1376,2008-08-04T16:05:29Z,NA,NA,13,26,5
1383,2008-08-04T16:27:39Z,NA,NA,173,314,19
1384,2008-08-04T16:29:23Z,NA,NA,70,230,15
1387,2008-08-04T16:30:46Z,2015-02-10T17:14:18Z,NA,17,NA,7
1390,2008-08-04T16:33:36Z,NA,NA,18,60,6
1401,2008-08-04T16:44:25Z,NA,NA,22,149,4
1406,2008-08-04T16:51:13Z,NA,2008-08-24T14:50:05Z,0,NA,10
1408,2008-08-04T16:54:49Z,2013-07-18T15:23:17Z,NA,231,58,6
1409,2008-08-04T16:55:31Z,NA,NA,13,26,1
1417,2008-08-04T17:02:31Z,NA,NA,35,287,1
1439,2008-08-04T17:35:17Z,NA,2008-08-24T15:00:10Z,1,NA,4
1451,2008-08-04T17:46:28Z,NA,NA,16,106,5
1453,2008-08-04T17:51:13Z,NA,NA,18,58,4
1457,2008-08-04T17:53:32Z,NA,NA,153,331,8
1469,2008-08-04T18:05:41Z,NA,2008-08-24T14:41:59Z,1,NA,2
1476,2008-08-04T18:20:36Z,NA,NA,271,92,6
1496,2008-08-04T18:51:38Z,2012-08-03T16:38:59Z,NA,29,136,13
1503,2008-08-04T19:01:14Z,NA,NA,16,27,1
1505,2008-08-04T19:02:36Z,NA,NA,22,83,4
1508,2008-08-04T19:04:47Z,NA,NA,12,149,4
1510,2008-08-04T19:06:16Z,NA,2008-08-24T14:41:53Z,3,NA,14
1528,2008-08-04T19:13:54Z,NA,NA,32,93,7
1535,2008-08-04T19:21:48Z,NA,NA,27,332,4
1537,2008-08-04T19:28:23Z,2012-08-14T15:04:37Z,2014-12-01T14:16:35Z,9,NA,16
1541,2008-08-04T19:33:29Z,2011-07-11T12:29:35Z,2012-02-24T20:47:56Z,11,NA,0
1542,2008-08-04T19:38:03Z,2011-12-20T17:51:25Z,2014-10-08T06:09:08Z,111,NA,10
1551,2008-08-04T19:56:05Z,2012-01-24T18:31:29Z,2013-02-14T00:18:02Z,44,NA,28
1569,2008-08-04T20:40:11Z,2011-11-04T09:13:31Z,2011-11-04T09:14:27Z,13,NA,0
1574,2008-08-04T20:49:02Z,2011-08-23T13:24:17Z,2011-08-27T01:00:31Z,2,NA,10
1576,2008-08-04T20:54:29Z,2014-07-06T15:07:31Z,2016-05-23T23:56:02Z,110,NA,37
1584,2008-08-04T21:04:06Z,NA,NA,13,40,7
1598,2008-08-04T21:17:51Z,NA,NA,65,83,11
1600,2008-08-04T21:27:53Z,NA,NA,19,230,5
1607,2008-08-04T21:31:40Z,2012-05-03T12:25:33Z,NA,120,72,20
1610,2008-08-04T21:37:31Z,NA,NA,66,328,8
1612,2008-08-04T21:38:54Z,NA,2009-01-05T01:27:49Z,0,NA,0
1615,2008-08-04T21:42:37Z,NA,NA,9,25,3
1623,2008-08-04T22:00:41Z,NA,NA,22,230,7
1625,2008-08-04T22:01:10Z,2012-08-06T14:28:47Z,NA,30,204,17
1626,2008-08-04T22:01:38Z,NA,2008-08-24T14:41:47Z,2,NA,7
1631,2008-08-04T22:07:35Z,NA,2008-08-24T14:41:41Z,2,NA,5
1637,2008-08-04T22:11:29Z,NA,2008-08-28T05:05:17Z,39,NA,0
1644,2008-08-04T22:17:08Z,NA,NA,529,91,97
1668,2008-08-04T22:46:26Z,NA,2008-08-05T09:59:06Z,0,NA,3
1669,2008-08-04T22:46:36Z,2014-06-26T12:41:32Z,NA,701,340,40
1679,2008-08-04T22:56:45Z,NA,NA,10,55,6
1680,2008-08-04T23:01:37Z,2008-08-27T17:35:42Z,2008-08-27T17:42:43Z,3,NA,1
1683,2008-08-04T23:06:23Z,NA,NA,15,350,5
1685,2008-08-04T23:07:56Z,NA,2008-08-24T14:43:55Z,6,NA,16
1705,2008-08-04T23:36:02Z,2011-12-03T15:37:03Z,2014-08-18T18:14:46Z,51,NA,14
1708,2008-08-04T23:43:17Z,NA,2013-04-09T22:30:55Z,5,NA,4
1709,2008-08-04T23:43:34Z,NA,NA,16,349,8
1711,2008-08-04T23:50:22Z,2012-01-11T13:32:24Z,NA,1440,303,214
1714,2008-08-04T23:51:51Z,NA,2008-08-24T14:43:46Z,0,NA,2
1734,2008-08-05T00:12:55Z,NA,NA,22,59,4
1740,2008-08-05T00:30:52Z,NA,2008-09-08T07:47:28Z,-22,NA,2
1744,2008-08-05T00:34:18Z,2011-10-20T17:27:00Z,2012-05-01T06:42:35Z,26,NA,5
1746,2008-08-05T00:35:17Z,NA,NA,42,137,4
1757,2008-08-05T00:45:59Z,2011-04-12T19:39:36Z,2012-02-24T16:06:11Z,27,NA,0
1760,2008-08-05T00:51:49Z,NA,NA,51,234,12
1762,2008-08-05T00:56:43Z,NA,NA,15,137,4
1763,2008-08-05T00:57:20Z,NA,2008-08-24T14:45:11Z,9,NA,15
1766,2008-08-05T00:58:21Z,2012-08-01T16:00:17Z,2013-06-07T15:58:31Z,20,NA,27
1790,2008-08-05T01:27:34Z,NA,NA,13,194,4
1791,2008-08-05T01:30:37Z,NA,2009-06-27T12:52:39Z,6,NA,0
1800,2008-08-05T01:36:45Z,NA,2008-09-11T10:32:14Z,-4,NA,2
1802,2008-08-05T01:39:34Z,NA,2008-08-24T14:43:34Z,0,NA,2
1823,2008-08-05T02:17:45Z,2012-05-21T17:07:23Z,2012-08-30T19:22:55Z,36,NA,24
1829,2008-08-05T02:39:23Z,NA,NA,15,30,4
1831,2008-08-05T02:43:58Z,2011-10-24T18:26:07Z,2012-03-05T18:39:17Z,24,NA,0
1836,2008-08-05T02:51:37Z,NA,NA,26,172,4
1839,2008-08-05T02:54:52Z,NA,2008-08-27T00:56:23Z,-1,NA,0
1848,2008-08-05T03:04:43Z,NA,NA,20,36,4
1854,2008-08-05T03:23:18Z,NA,NA,311,116,19
1855,2008-08-05T03:24:07Z,NA,2008-08-05T06:06:10Z,-11,NA,6
1869,2008-08-05T03:50:42Z,2015-07-01T01:50:54Z,NA,22,358,5
1873,2008-08-05T04:05:53Z,NA,NA,25,242,5
1882,2008-08-05T04:20:19Z,NA,2008-08-05T04:53:00Z,-16,NA,10
1898,2008-08-05T04:43:22Z,2012-09-27T12:30:14Z,NA,89,81,12
1908,2008-08-05T04:55:28Z,NA,NA,17,79,4
1915,2008-08-05T05:09:27Z,2011-12-02T23:35:40Z,2011-12-02T23:36:15Z,6,NA,0
1916,2008-08-05T05:11:01Z,NA,2008-08-24T14:44:48Z,2,NA,6
1929,2008-08-05T05:25:10Z,2011-10-31T14:34:24Z,2012-02-24T16:06:20Z,5,NA,0
1933,2008-08-05T05:30:28Z,2010-07-04T04:15:05Z,2011-11-12T21:44:05Z,62,NA,0
1935,2008-08-05T05:31:30Z,2011-09-12T00:17:16Z,2013-06-07T15:58:13Z,31,NA,10
1936,2008-08-05T05:33:41Z,NA,NA,105,364,5
1939,2008-08-05T05:39:36Z,2012-06-05T13:13:38Z,2012-12-18T10:21:55Z,408,NA,48
1946,2008-08-05T05:51:05Z,NA,2008-08-05T23:11:11Z,0,NA,9
1949,2008-08-05T05:54:34Z,NA,NA,21,51,5
1965,2008-08-05T06:29:04Z,NA,2008-08-24T15:36:31Z,13,NA,19
1970,2008-08-05T06:39:31Z,NA,NA,11,116,8
1973,2008-08-05T06:48:38Z,2012-08-06T14:28:27Z,2016-05-23T20:06:11Z,81,NA,28
1982,2008-08-05T07:11:08Z,NA,NA,30,2090742,4
1983,2008-08-05T07:18:55Z,NA,NA,33,116,13
1988,2008-08-05T07:32:54Z,2012-06-18T19:00:39Z,NA,38,122,14
1994,2008-08-05T07:45:38Z,NA,NA,9,195,6
1995,2008-08-05T07:49:11Z,NA,NA,12,51,5
1999,2008-08-05T07:53:26Z,2012-01-24T15:36:45Z,2012-02-24T16:06:28Z,34,NA,0
2018,2008-08-05T08:25:33Z,2011-09-15T07:17:42Z,2013-05-22T21:15:56Z,13,NA,15
2027,2008-08-05T08:56:01Z,2012-08-14T15:03:55Z,NA,43,46,11
2034,2008-08-05T09:11:54Z,NA,NA,236,137,9
2041,2008-08-05T09:25:29Z,NA,NA,507,269,9
2043,2008-08-05T09:34:49Z,NA,NA,20,369,1
2046,2008-08-05T09:43:01Z,NA,NA,36,372,10
2048,2008-08-05T09:45:41Z,NA,NA,6,298,9
2056,2008-08-05T10:06:33Z,NA,NA,1544,358,20
2084,2008-08-05T10:55:31Z,2011-09-17T22:45:57Z,2013-04-10T17:09:47Z,24,NA,26
2092,2008-08-05T11:15:16Z,NA,NA,15,NA,5
2097,2008-08-05T11:22:31Z,NA,2008-08-05T11:31:49Z,0,NA,2
2101,2008-08-05T11:29:21Z,2013-06-06T16:05:17Z,2014-07-10T21:00:06Z,55,NA,10
2106,2008-08-05T11:33:16Z,NA,2008-09-01T15:12:10Z,-7,NA,0
2120,2008-08-05T11:49:11Z,NA,NA,84,383,7
2121,2008-08-05T11:50:25Z,NA,2008-08-24T14:51:48Z,1,NA,3
2123,2008-08-05T11:51:16Z,NA,NA,20,193,8
2125,2008-08-05T11:53:41Z,2012-06-29T14:09:30Z,2012-06-29T14:09:33Z,8,NA,11
2131,2008-08-05T11:58:47Z,2013-06-07T18:59:15Z,2013-09-24T18:09:04Z,-4,NA,4
2134,2008-08-05T12:00:28Z,NA,NA,107,380,11
2138,2008-08-05T12:03:10Z,NA,NA,47,373,9
2154,2008-08-05T12:13:40Z,NA,NA,22,383,4
2155,2008-08-05T12:13:40Z,NA,NA,51,371,6
2158,2008-08-05T12:15:08Z,NA,NA,75,340,5
2160,2008-08-05T12:16:54Z,NA,2008-08-24T14:43:23Z,2,NA,2
2163,2008-08-05T12:18:44Z,NA,2008-08-24T14:43:18Z,1,NA,6
2169,2008-08-05T12:20:39Z,NA,2008-08-24T14:51:41Z,2,NA,5
2187,2008-08-05T12:36:44Z,NA,2011-05-18T01:41:05Z,124,NA,0
2196,2008-08-05T12:40:30Z,NA,NA,8,192,3
2198,2008-08-05T12:42:31Z,NA,2008-08-24T14:43:11Z,0,NA,3
2209,2008-08-05T12:46:45Z,NA,NA,13,396,3
